t 1 2 3 4 5 6 jL0100 jL0200 jL0300 jE0400 jE0504 jE0605 
4.08e-05 0.281495 -0.841187 -0.755492 -0.755492 -1.59668 -1.31518 0.0303422 0.0341728 -0.0620773 0 0 0
4.11e-05 0.27238 -0.851286 -0.736571 -0.736571 -1.58786 -1.31548 0.0304253 0.0331574 -0.0640912 0 0 0
4.14e-05 0.263241 -0.861078 -0.717053 -0.717053 -1.57813 -1.31489 0.0305056 0.0321301 -0.0660531 0 0 0
4.17e-05 0.254078 -0.870561 -0.696955 -0.696955 -1.56752 -1.31344 0.0305832 0.0310912 -0.0679616 0 0 0
4.2e-05 0.244892 -0.87973 -0.676292 -0.676292 -1.55602 -1.31113 0.030658 0.0300411 -0.0698151 0 0 0
4.23e-05 0.235684 -0.888582 -0.655082 -0.655082 -1.54366 -1.30798 0.0307301 0.0289802 -0.0716121 0 0 0
4.26e-05 0.226454 -0.897115 -0.633342 -0.633342 -1.53046 -1.304 0.0307994 0.0279089 -0.0733511 0 0 0
4.29e-05 0.217205 -0.905324 -0.611089 -0.611089 -1.51641 -1.29921 0.030866 0.0268275 -0.0750308 0 0 0
4.32e-05 0.207936 -0.913208 -0.588342 -0.588342 -1.50155 -1.29361 0.0309298 0.0257365 -0.0766497 0 0 0
4.35e-05 0.198648 -0.920763 -0.565118 -0.565118 -1.48588 -1.28723 0.0309907 0.0246362 -0.0782065 0 0 0
4.38e-05 0.189342 -0.927987 -0.541437 -0.541437 -1.46942 -1.28008 0.0310489 0.0235271 -0.0797 0 0 0
4.41e-05 0.180019 -0.934877 -0.517317 -0.517317 -1.45219 -1.27217 0.0311043 0.0224095 -0.0811291 0 0 0
4.44e-05 0.17068 -0.94143 -0.492779 -0.492779 -1.43421 -1.26353 0.0311569 0.0212838 -0.0824924 0 0 0
4.47e-05 0.161326 -0.947645 -0.467842 -0.467842 -1.41549 -1.25416 0.0312067 0.0201504 -0.083789 0 0 0
4.5e-05 0.151957 -0.953518 -0.442526 -0.442526 -1.39604 -1.24409 0.0312537 0.0190098 -0.0850177 0 0 0
4.53e-05 0.142575 -0.959049 -0.416851 -0.416851 -1.3759 -1.23333 0.0312979 0.0178624 -0.0861776 0 0 0
4.56e-05 0.133179 -0.964234 -0.39084 -0.39084 -1.35507 -1.22189 0.0313393 0.0167085 -0.0872677 0 0 0
4.59e-05 0.123772 -0.969072 -0.364512 -0.364512 -1.33358 -1.20981 0.0313778 0.0155487 -0.0882873 0 0 0
4.62e-05 0.114353 -0.973561 -0.337889 -0.337889 -1.31145 -1.1971 0.0314135 0.0143832 -0.0892353 0 0 0
4.65e-05 0.104925 -0.9777 -0.310992 -0.310992 -1.28869 -1.18377 0.0314464 0.0132125 -0.0901111 0 0 0
4.68e-05 0.0954863 -0.981487 -0.283844 -0.283844 -1.26533 -1.16984 0.0314765 0.0120371 -0.0909139 0 0 0
4.71e-05 0.0860395 -0.984921 -0.256466 -0.256466 -1.24139 -1.15535 0.0315037 0.0108574 -0.0916432 0 0 0
4.74e-05 0.0765849 -0.988 -0.22888 -0.22888 -1.21688 -1.1403 0.0315281 0.00967374 -0.0922983 0 0 0
4.77e-05 0.0671235 -0.990724 -0.201109 -0.201109 -1.19183 -1.12471 0.0315497 0.00848661 -0.0928786 0 0 0
4.8e-05 0.057656 -0.993091 -0.173176 -0.173176 -1.16627 -1.10861 0.0315684 0.00729643 -0.0933838 0 0 0
4.83e-05 0.0481833 -0.995101 -0.145102 -0.145102 -1.1402 -1.09202 0.0315843 0.00610362 -0.0938134 0 0 0
4.86e-05 0.0387063 -0.996753 -0.11691 -0.11691 -1.11366 -1.07496 0.0315973 0.00490861 -0.094167 0 0 0
4.89e-05 0.0292258 -0.998046 -0.0886242 -0.0886242 -1.08667 -1.05744 0.0316075 0.00371184 -0.0944444 0 0 0
4.92e-05 0.0197426 -0.99898 -0.0602665 -0.0602665 -1.05925 -1.0395 0.0316148 0.00251373 -0.0946453 0 0 0
4.95e-05 0.0102577 -0.999554 -0.03186 -0.03186 -1.03141 -1.02116 0.0316193 0.00131472 -0.0947697 0 0 0
4.98e-05 0.000771881 -0.999768 -0.00342769 -0.00342769 -1.0032 -1.00242 0.031621 0.000115235 -0.0948173 0 0 0
5.01e-05 -0.00871402 -0.999623 0.0250074 0.0250074 -0.974615 -0.983329 0.0316198 -0.00108429 -0.0947881 0 0 0
5.04e-05 -0.0181991 -0.999118 0.0534222 0.0534222 -0.945695 -0.963895 0.0316157 -0.00228343 -0.0946823 0 0 0
5.07e-05 -0.0276826 -0.998253 0.0817937 0.0817937 -0.916459 -0.944142 0.0316089 -0.00348174 -0.0944997 0 0 0
5.1e-05 -0.0371636 -0.997029 0.110099 0.110099 -0.88693 -0.924093 0.0315991 -0.0046788 -0.0942407 0 0 0
5.13e-05 -0.0466412 -0.995446 0.138315 0.138315 -0.857131 -0.903772 0.0315866 -0.00587418 -0.0939054 0 0 0
5.16e-05 -0.0561147 -0.993505 0.166419 0.166419 -0.827086 -0.8832 0.0315712 -0.00706744 -0.0934941 0 0 0
5.19e-05 -0.0655831 -0.991206 0.194389 0.194389 -0.796817 -0.8624 0.0315529 -0.00825816 -0.0930071 0 0 0
5.22e-05 -0.0750456 -0.988551 0.222201 0.222201 -0.76635 -0.841395 0.0315318 -0.00944591 -0.0924448 0 0 0
5.25e-05 -0.0845013 -0.98554 0.249833 0.249833 -0.735706 -0.820208 0.0315079 -0.0106303 -0.0918076 0 0 0
5.28e-05 -0.0939495 -0.982174 0.277263 0.277263 -0.704911 -0.79886 0.0314811 -0.0118108 -0.0910962 0 0 0
5.31e-05 -0.103389 -0.978454 0.304469 0.304469 -0.673986 -0.777375 0.0314515 -0.0129871 -0.090311 0 0 0
5.34e-05 -0.11282 -0.974383 0.331428 0.331428 -0.642955 -0.755775 0.0314191 -0.0141586 -0.0894527 0 0 0
5.37e-05 -0.12224 -0.969961 0.358119 0.358119 -0.611842 -0.734082 0.0313838 -0.0153251 -0.088522 0 0 0
5.4e-05 -0.131649 -0.965189 0.384519 0.384519 -0.58067 -0.712319 0.0313457 -0.0164861 -0.0875196 0 0 0
5.43e-05 -0.141046 -0.960071 0.410609 0.410609 -0.549462 -0.690508 0.0313048 -0.0176412 -0.0864464 0 0 0
5.46e-05 -0.150431 -0.954607 0.436366 0.436366 -0.51824 -0.668671 0.0312611 -0.0187899 -0.0853032 0 0 0
5.49e-05 -0.159802 -0.948799 0.46177 0.46177 -0.487029 -0.646831 0.0312146 -0.0199318 -0.0840909 0 0 0
5.52e-05 -0.169159 -0.94265 0.4868 0.4868 -0.455849 -0.625008 0.0311652 -0.0210666 -0.0828106 0 0 0
5.55e-05 -0.1785 -0.936161 0.511436 0.511436 -0.424725 -0.603225 0.0311131 -0.0221938 -0.0814633 0 0 0
5.58e-05 -0.187826 -0.929336 0.535658 0.535658 -0.393677 -0.581503 0.0310581 -0.023313 -0.08005 0 0 0
5.61e-05 -0.197135 -0.922176 0.559447 0.559447 -0.362729 -0.559864 0.0310004 -0.0244238 -0.0785718 0 0 0
5.64e-05 -0.206425 -0.914684 0.582782 0.582782 -0.331902 -0.538327 0.0309399 -0.0255258 -0.0770301 0 0 0
5.67e-05 -0.215698 -0.906863 0.605646 0.605646 -0.301217 -0.516915 0.0308765 -0.0266186 -0.0754261 0 0 0
5.7e-05 -0.22495 -0.898716 0.628019 0.628019 -0.270696 -0.495647 0.0308105 -0.0277019 -0.0737609 0 0 0
5.73e-05 -0.234183 -0.890245 0.649884 0.649884 -0.240361 -0.474544 0.0307416 -0.0287752 -0.0720361 0 0 0
5.76e-05 -0.243395 -0.881454 0.671223 0.671223 -0.21023 -0.453625 0.03067 -0.0298381 -0.070253 0 0 0
5.79e-05 -0.252584 -0.872345 0.692019 0.692019 -0.180326 -0.432911 0.0305956 -0.0308903 -0.068413 0 0 0
5.82e-05 -0.261751 -0.862923 0.712254 0.712254 -0.150669 -0.41242 0.0305184 -0.0319313 -0.0665176 0 0 0
5.85e-05 -0.270894 -0.85319 0.731913 0.731913 -0.121277 -0.392171 0.0304385 -0.0329609 -0.0645683 0 0 0
5.88e-05 -0.280013 -0.84315 0.750979 0.750979 -0.0921705 -0.372184 0.0303559 -0.0339786 -0.0625668 0 0 0
5.91e-05 -0.289107 -0.832806 0.769437 0.769437 -0.0633687 -0.352476 0.0302705 -0.0349841 -0.0605147 0 0 0
5.94e-05 -0.298175 -0.822163 0.787273 0.787273 -0.0348899 -0.333065 0.0301824 -0.035977 -0.0584135 0 0 0
5.97e-05 -0.307216 -0.811224 0.804471 0.804471 -0.00675263 -0.313968 0.0300916 -0.0369569 -0.0562651 0 0 0
6e-05 -0.316229 -0.799993 0.821018 0.821018 0.0210254 -0.295204 0.0299981 -0.0379236 -0.0540711 0 0 0
6.03e-05 -0.325214 -0.788474 0.8369 0.8369 0.0484267 -0.276787 0.0299019 -0.0388766 -0.0518334 0 0 0
6.06e-05 -0.334169 -0.776671 0.852105 0.852105 0.0754344 -0.258735 0.029803 -0.0398156 -0.0495537 0 0 0
6.09e-05 -0.343095 -0.764589 0.86662 0.86662 0.102032 -0.241063 0.0297014 -0.0407402 -0.0472338 0 0 0
6.12e-05 -0.351989 -0.752231 0.880434 0.880434 0.128203 -0.223787 0.0295971 -0.0416502 -0.0448758 0 0 0
6.15e-05 -0.360852 -0.739603 0.893535 0.893535 0.153932 -0.206921 0.0294902 -0.0425453 -0.0424814 0 0 0
6.18e-05 -0.369683 -0.726709 0.905912 0.905912 0.179204 -0.190479 0.0293806 -0.043425 -0.0400526 0 0 0
6.21e-05 -0.37848 -0.713553 0.917556 0.917556 0.204004 -0.174476 0.0292684 -0.044289 -0.0375914 0 0 0
6.24e-05 -0.387243 -0.70014 0.928457 0.928457 0.228318 -0.158925 0.0291536 -0.0451372 -0.0350998 0 0 0
6.27e-05 -0.395971 -0.686475 0.938607 0.938607 0.252132 -0.143839 0.0290361 -0.0459691 -0.0325798 0 0 0
6.3e-05 -0.404664 -0.672563 0.947997 0.947997 0.275434 -0.12923 0.028916 -0.0467844 -0.0300334 0 0 0
6.33e-05 -0.41332 -0.658409 0.95662 0.95662 0.29821 -0.11511 0.0287933 -0.0475829 -0.0274627 0 0 0
6.36e-05 -0.421939 -0.644019 0.964468 0.964468 0.320449 -0.10149 0.028668 -0.0483643 -0.0248697 0 0 0
