t 1 2 3 4 5 6 jV0200 jV0400 
0.0268 18.7069 100 11.1318 100 0.000374139 0.000222636 -0.00406465 -0.00444341
0.0269 19.0747 100 11.5105 100 0.000381494 0.00023021 -0.00404626 -0.00442447
0.027 19.4399 100 11.8893 100 0.000388798 0.000237786 -0.004028 -0.00440553
0.0271 19.8026 100 12.2666 100 0.000396051 0.000245332 -0.00400987 -0.00438667
0.0272 20.1627 100 12.6417 100 0.000403254 0.000252835 -0.00399187 -0.00436791
0.0273 20.5203 100 13.0146 100 0.000410406 0.000260292 -0.00397398 -0.00434927
0.0274 20.8754 100 13.3851 100 0.000417508 0.000267703 -0.00395623 -0.00433074
0.0275 21.2281 100 13.7533 100 0.000424561 0.000275067 -0.0039386 -0.00431233
0.0276 21.5782 100 14.1192 100 0.000431565 0.000282384 -0.00392109 -0.00429404
0.0277 21.926 100 14.4827 100 0.00043852 0.000289655 -0.0039037 -0.00427586
0.0278 22.2713 100 14.844 100 0.000445426 0.00029688 -0.00388644 -0.0042578
0.0279 22.6142 100 15.2029 100 0.000452284 0.000304058 -0.00386929 -0.00423985
0.028 22.9547 100 15.5596 100 0.000459094 0.000311192 -0.00385226 -0.00422202
0.0281 23.2929 100 15.914 100 0.000465857 0.00031828 -0.00383536 -0.0042043
0.0282 23.6286 100 16.2662 100 0.000472573 0.000325323 -0.00381857 -0.00418669
0.0283 23.9621 100 16.6161 100 0.000479241 0.000332322 -0.0038019 -0.0041692
0.0284 24.2932 100 16.9638 100 0.000485864 0.000339276 -0.00378534 -0.00415181
0.0285 24.622 100 17.3093 100 0.00049244 0.000346186 -0.0037689 -0.00413454
0.0286 24.9485 100 17.6526 100 0.00049897 0.000353052 -0.00375258 -0.00411737
0.0287 25.2727 100 17.9937 100 0.000505454 0.000359874 -0.00373636 -0.00410031
0.0288 25.5947 100 18.3327 100 0.000511894 0.000366654 -0.00372027 -0.00408337
0.0289 25.9144 100 18.6695 100 0.000518288 0.00037339 -0.00370428 -0.00406653
0.029 26.2319 100 19.0042 100 0.000524638 0.000380083 -0.0036884 -0.00404979
0.0291 26.5472 100 19.3367 100 0.000530944 0.000386735 -0.00367264 -0.00403316
0.0292 26.8603 100 19.6672 100 0.000537205 0.000393343 -0.00365699 -0.00401664
0.0293 27.1712 100 19.9955 100 0.000543423 0.00039991 -0.00364144 -0.00400022
0.0294 27.4799 100 20.3218 100 0.000549598 0.000406436 -0.00362601 -0.00398391
0.0295 27.7864 100 20.646 100 0.000555729 0.00041292 -0.00361068 -0.0039677
0.0296 28.0909 100 20.9681 100 0.000561818 0.000419363 -0.00359546 -0.00395159
0.0297 28.3932 100 21.2882 100 0.000567864 0.000425764 -0.00358034 -0.00393559
0.0298 28.6934 100 21.6063 100 0.000573868 0.000432126 -0.00356533 -0.00391969
0.0299 28.9915 100 21.9223 100 0.00057983 0.000438447 -0.00355043 -0.00390388
0.03 29.2875 100 22.2364 100 0.00058575 0.000444728 -0.00353562 -0.00388818
0.0301 29.5815 100 22.5484 100 0.00059163 0.000450969 -0.00352093 -0.00387258
0.0302 29.8734 100 22.8585 100 0.000597468 0.00045717 -0.00350633 -0.00385707
0.0303 30.1633 100 23.1666 100 0.000603265 0.000463332 -0.00349184 -0.00384167
0.0304 30.4511 100 23.4728 100 0.000609023 0.000469455 -0.00347744 -0.00382636
0.0305 30.737 100 23.777 100 0.000614739 0.000475539 -0.00346315 -0.00381115
