t 1 2 3 4 5 6 7 8 9 jO0500 jO0100 jO0300 jV0900 
5.45e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 2.61373e-18 0
5.5e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 2.50626e-18 0
5.55e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 2.61373e-18 0
5.6e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 2.86837e-18 0
5.65e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 -2.03277e-18 0
5.7e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 -9.94734e-19 0
5.75e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 1.66749e-18 0
5.8e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 2.4384e-19 0
5.85e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 1.86813e-18 0
5.9e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 -1.85765e-18 0
5.95e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 3.69349e-18 0
6e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 9.21784e-19 0
6.05e-05 1.29827 0 -1.51483 -0.00151332 -1.29827 -0.00129697 0 0 2 0.00259524 -0.00281159 0.000216347 0
6.1e-05 1.36354 0 -1.45502 -0.00145356 -1.36354 -0.00136217 0 0 2 0.00272571 -0.0028171 9.13884e-05 0
6.15e-05 1.43149 0 -1.38741 -0.00138602 -1.43149 -0.00143006 0 0 2 0.00286156 -0.00281752 -4.40401e-05 0
6.2e-05 1.49793 0 -1.31499 -0.00131368 -1.49793 -0.00149644 0 0 2 0.00299437 -0.00281161 -0.00018276 0
6.25e-05 1.56134 0 -1.23886 -0.00123762 -1.56134 -0.00155978 0 0 2 0.00312111 -0.00279896 -0.000322153 0
6.3e-05 1.62108 0 -1.1595 -0.00115834 -1.62108 -0.00161946 0 0 2 0.00324054 -0.00277942 -0.000461119 0
6.35e-05 1.67687 0 -1.07721 -0.00107613 -1.67687 -0.00167519 0 0 2 0.00335206 -0.002753 -0.00059906 0
6.4e-05 1.7285 0 -0.992218 -0.000991227 -1.7285 -0.00172678 0 0 2 0.00345528 -0.00271973 -0.00073555 0
6.45e-05 1.77584 0 -0.904752 -0.000903848 -1.77584 -0.00177407 0 0 2 0.00354991 -0.00267969 -0.000870221 0
6.5e-05 1.81876 0 -0.815032 -0.000814218 -1.81876 -0.00181695 0 0 2 0.00363571 -0.00263298 -0.00100273 0
6.55e-05 1.85716 0 -0.723282 -0.000722559 -1.85716 -0.0018553 0 0 2 0.00371246 -0.00257972 -0.00113274 0
6.6e-05 1.89092 0 -0.629731 -0.000629102 -1.89092 -0.00188903 0 0 2 0.00377996 -0.00252003 -0.00125993 0
6.65e-05 1.91998 0 -0.534612 -0.000534077 -1.91998 -0.00191806 0 0 2 0.00383805 -0.00245406 -0.00138399 0
6.7e-05 1.94426 0 -0.438161 -0.000437724 -1.94426 -0.00194232 0 0 2 0.00388658 -0.00238198 -0.00150459 0
6.75e-05 1.96369 0 -0.34062 -0.00034028 -1.96369 -0.00196173 0 0 2 0.00392543 -0.00230397 -0.00162145 0
6.8e-05 1.97017 0 -0.308106 -0.308106 -1.97017 -1.97017 0 0 5.64547e-13 0.00197017 -0.00197017 2.27375e-19 0
6.85e-05 1.97233 0 -0.297268 -0.297268 -1.97233 -1.97233 0 0 0 0.00197233 -0.00197233 7.49201e-19 0
6.9e-05 1.97305 0 -0.293656 -0.293656 -1.97305 -1.97305 0 0 0 0.00197305 -0.00197305 -8.83032e-20 0
6.95e-05 1.97329 0 -0.292452 -0.292452 -1.97329 -1.97329 0 0 0 0.00197329 -0.00197329 1.03497e-19 0
7e-05 1.97337 0 -0.29205 -0.29205 -1.97337 -1.97337 0 0 0 0.00197337 -0.00197337 -3.2047e-19 0
7.05e-05 1.9734 0 -0.291916 -0.291916 -1.9734 -1.9734 0 0 0 0.0019734 -0.0019734 -5.15843e-19 0
7.1e-05 1.97341 0 -0.291872 -0.291872 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 -5.44166e-19 0
7.15e-05 1.97341 0 -0.291857 -0.291857 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 -5.35219e-19 0
7.2e-05 1.97341 0 -0.291852 -0.291852 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 4.6825e-20 0
7.25e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 -3.0157e-19 0
7.3e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 7.02958e-19 0
7.35e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 4.7778e-19 0
7.4e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 4.39028e-19 0
7.45e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 -1.69883e-19 0
7.5e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 1.69089e-19 0
7.55e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 3.1822e-19 0
7.6e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 1.00024e-18 0
7.65e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 -1.73112e-20 0
7.7e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 8.88882e-19 0
7.75e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 -1.87935e-20 0
7.8e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 8.88882e-19 0
7.85e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 -1.78142e-20 0
7.9e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 8.71465e-19 0
7.95e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 5.9062e-19 0
8e-05 1.97341 0 -0.29185 -0.29185 -1.97341 -1.97341 0 0 0 0.00197341 -0.00197341 4.957e-19 0
8.05e-05 1.98093 0 -0.225884 -0.000225659 -1.98093 -0.00197895 0 0 2 0.00395989 -0.00220659 -0.0017533 0
