t 1 2 jL0100 
65.5 -0.436937 -2.93886 -1.34075
65.6 -0.433756 -2.98874 -1.38425
65.7 -0.429011 -3.03597 -1.42735
65.8 -0.42269 -3.08039 -1.46989
65.9 -0.414786 -3.12186 -1.51173
66 -0.405302 -3.16023 -1.55269
66.1 -0.39425 -3.19536 -1.59263
66.2 -0.381648 -3.22712 -1.63139
66.3 -0.367522 -3.25539 -1.66881
66.4 -0.351906 -3.28005 -1.70474
66.5 -0.334841 -3.30102 -1.73904
66.6 -0.316376 -3.3182 -1.77157
66.7 -0.296564 -3.33151 -1.80218
66.8 -0.275469 -3.34089 -1.83075
66.9 -0.253158 -3.34628 -1.85715
67 -0.229706 -3.34766 -1.88126
67.1 -0.205191 -3.34499 -1.90298
67.2 -0.1797 -3.33827 -1.9222
67.3 -0.153323 -3.32752 -1.93883
67.4 -0.126156 -3.31273 -1.95278
67.5 -0.0982962 -3.29397 -1.96398
67.6 -0.0698489 -3.27127 -1.97237
67.7 -0.0409202 -3.24471 -1.9779
67.8 -0.0116203 -3.21438 -1.98052
67.9 0.0179383 -3.18035 -1.98019
68 0.047641 -3.14277 -1.97691
68.1 0.0773713 -3.10174 -1.97066
68.2 0.107011 -3.05741 -1.96144
